Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.32269,5.9e-4,0.43525,5.9e-4,5.9e-4,5.9e-4,5.9e-4,5.9e-4,0.05482,0.1837
2e-4,0.47405,2e-4,2e-4,0.05916,0.23737,2e-4,0.17499,0.0534,2e-4
3.1e-4,0.18448,0.10356,3.1e-4,3.1e-4,0.22754,3.1e-4,3.1e-4,0.48254,3.1e-4
3.3e-4,3.3e-4,0.96659,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,0.03077
0.44014,6.5e-4,0.02853,0.16031,0.19959,0.1682,6.5e-4,6.5e-4,6.5e-4,6.5e-4
5.4e-4,5.4e-4,5.4e-4,5.4e-4,0.13214,0.40918,5.4e-4,0.04529,0.41014,5.4e-4
0.18174,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,0.81224,7.5e-4
0.07757,0.50693,3.8e-4,0.09823,3.8e-4,3.8e-4,3.8e-4,0.04008,3.8e-4,0.27529
0.53745,3.5e-4,0.11321,0.18867,3.5e-4,3.5e-4,0.02877,0.08274,3.5e-4,0.04778
5.7e-4,0.79377,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4,0.09896,0.10331
5.4e-4,5.4e-4,5.4e-4,0.99516,5.4e-4,5.4e-4,5.4e-4,5.4e-4,5.4e-4,5.4e-4
0.02019,0.79737,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,0.17909,4.8e-4
3.2e-4,0.2916,0.03488,0.24904,3.2e-4,3.2e-4,0.42256,3.2e-4,3.2e-4,3.2e-4
0.13512,6e-4,0.73086,6e-4,6e-4,6e-4,0.12985,6e-4,6e-4,6e-4
2.7e-4,2.7e-4,0.09458,0.2936,0.49226,0.11792,2.7e-4,2.7e-4,2.7e-4,2.7e-4
0.35857,0.00303,0.00303,0.61718,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303
3e-4,3e-4,0.75964,0.23795,3e-4,3e-4,3e-4,3e-4,3e-4,3e-4
3.1e-4,0.88911,0.03708,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,0.07167,3.1e-4
0.03334,0.44424,0.03333,0.03334,0.28907,0.03334,0.03333,0.03333,0.03333,0.03333
0.43162,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.55548,0.00161,0.00161
2.9e-4,2.9e-4,0.18417,2.9e-4,0.06006,2.9e-4,2.9e-4,0.75373,2.9e-4,2.9e-4
0.11304,5.7e-4,0.11541,0.76755,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4
0.82387,0.00116,0.00116,0.00116,0.00116,0.00116,0.16683,0.00116,0.00116,0.00116
0.98085,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213
5.7e-4,5.7e-4,0.89218,0.10325,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4
7e-4,7e-4,7e-4,0.17538,7e-4,7e-4,0.12407,7e-4,0.14355,0.55281
0.44281,8.9e-4,8.9e-4,8.9e-4,8.9e-4,8.9e-4,8.9e-4,8.9e-4,0.21038,0.34055
0.14263,6.1e-4,0.50983,0.29256,6.1e-4,6.1e-4,6.1e-4,0.05132,6.1e-4,6.1e-4
0.10997,5e-4,5e-4,0.36216,5e-4,0.49364,0.03126,5e-4,5e-4,5e-4
3.8e-4,3.8e-4,0.5467,3.8e-4,3.8e-4,3.8e-4,3.8e-4,0.31103,0.13961,3.8e-4
2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,2.4e-4,0.99783
0.88749,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
0.66536,0.0025,0.0025,0.0025,0.0025,0.16261,0.0025,0.0025,0.15453,0.0025
3e-4,3e-4,3e-4,0.33229,3e-4,0.09622,3e-4,0.51461,0.05508,3e-4
0.07942,4.9e-4,0.08238,0.71195,4.9e-4,4.9e-4,4.9e-4,4.9e-4,0.12328,4.9e-4
0.00114,0.11936,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.87154,0.00114
0.33144,2.2e-4,2.2e-4,2.2e-4,0.022,2.2e-4,2.2e-4,2.2e-4,0.64503,2.2e-4
4.2e-4,0.16188,0.62206,0.10514,0.031,4.2e-4,4.2e-4,4.2e-4,0.07785,4.2e-4
